,Country,HappinessScore_2020,HappinessScore_2021,HappinessScore_2022,Deaths_2020,Deaths_2021,Deaths_2022,Average_Happiness,Total_Deaths
0,Finland,7.808700085,7.842,7.821,592.0,1136.0,2539.0,7.823900028333334,4267.0
1,Denmark,7.645599842,7.62,7.636,1286.0,1979.0,3710.0,7.6338666139999996,6975.0
2,Switzerland,7.559899807,7.571,7.512,7517.0,4387.0,8660.0,7.547633268999999,20564.0
3,Iceland,7.504499912,7.554,7.557,29.0,8.0,90.0,7.538499970666667,127.0
4,Norway,7.487999916,7.392,7.365,433.0,947.0,1571.0,7.4149999719999995,2951.0
5,Netherlands,7.448900223,7.464,7.415,11298.0,9588.0,12368.0,7.4426334076666665,33254.0
6,Sweden,7.353499889,7.363,7.384,9650.0,5716.0,12753.0,7.366833296333334,28119.0
7,New Zealand,7.299600124,7.277,7.2,25.0,26.0,273.0,7.258866708,324.0
8,Austria,7.294199944,7.268,7.163,7485.0,9327.0,9615.0,7.241733314666667,26427.0
9,Canada,7.23210001,7.103,7.025,15274.0,14684.0,22888.0,7.120033336666666,52846.0
10,Australia,7.222799778,7.183,7.162,909.0,1317.0,4645.0,7.189266592666666,6871.0
11,United Kingdom,7.164500237,7.064,6.943,75122.0,74510.0,93608.0,7.057166745666667,243240.0
12,Israel,7.128600121,7.157,7.364,3337.0,4919.0,5626.0,7.216533373666667,13882.0
13,Costa Rica,7.121399879,7.069,6.582,2156.0,5198.0,3090.0,6.924133293000001,10444.0
14,Ireland,7.093699932,7.085,7.041,2276.0,3808.0,3030.0,7.073233310666667,9114.0
15,Germany,7.075799942,7.155,7.034,50293.0,67376.0,65927.0,7.088266647333334,183596.0
16,United States,6.939599991,6.951,6.977,351843.0,466848.0,505787.0,6.955866663666666,1324478.0
17,Belgium,6.863500118,6.834,6.805,19758.0,8629.0,22207.0,6.834166706,50594.0
18,United Arab Emirates,6.790800095,6.561,6.576,665.0,1497.0,805.0,6.6426000316666665,2967.0
19,Malta,6.772799969,6.602,6.447,223.0,253.0,385.0,6.6072666563333335,861.0
20,France,6.663799763,6.69,6.687,64004.0,56958.0,81993.0,6.680266587666668,202955.0
21,Mexico,6.465000153,6.317,6.128,147623.0,155763.0,168232.0,6.303333384333333,471618.0
22,Uruguay,6.440100193,6.431,6.474,168.0,6000.0,1156.0,6.448366731,7324.0
23,Saudi Arabia,6.406499863,6.494,6.523,6214.0,2661.0,6382.0,6.474499954333333,15257.0
24,Spain,6.400899887,6.491,6.476,54011.0,36916.0,65443.0,6.455966629,156370.0
25,Italy,6.38740015,6.483,6.467,73604.0,63643.0,95581.0,6.44580005,232828.0
26,Singapore,6.377099991,6.377,6.48,29.0,798.0,465.0,6.411366663666667,1292.0
27,Brazil,6.375599861,6.33,6.293,192681.0,426136.0,233105.0,6.332866620333333,851922.0
28,Slovenia,6.363399982,6.461,6.63,2955.0,3166.0,4276.0,6.484799993999999,10397.0
29,El Salvador,6.34829998,6.061,6.12,1327.0,2496.0,1622.0,6.176433326666667,5445.0
30,Kosovo,6.325200081,6.372,6.455,1322.0,1658.0,1464.0,6.384066693666667,4444.0
31,Panama,6.304800034,6.18,6.309,3933.0,3492.0,4676.0,6.264600011333333,12101.0
32,Slovakia,6.280600071,6.331,6.391,2138.0,14497.0,4855.0,6.334200023666668,21490.0
33,Uzbekistan,6.257599831,6.179,6.063,614.0,871.0,766.0,6.166533277,2251.0
34,Chile,6.228499889,6.172,6.172,16499.0,22597.0,33870.0,6.1908332963333335,72966.0
35,Bahrain,6.227300167,6.647,6.647,352.0,1042.0,428.0,6.507100055666666,1822.0
36,Lithuania,6.215499878,6.255,6.446,1800.0,5595.0,3286.0,6.305499959333333,10681.0
37,Poland,6.186299801,6.166,6.123,28641.0,68416.0,46757.0,6.158433267,143814.0
38,Colombia,6.163400173,6.012,5.781,42620.0,87246.0,52349.0,5.985466724333333,182215.0
39,Cyprus,6.15899992,6.223,6.221,122.0,524.0,428.0,6.200999973333334,1074.0
40,Nicaragua,6.13710022,5.972,6.165,165.0,52.0,178.0,6.091366740000001,395.0
41,Romania,6.123700142,6.14,6.477,15596.0,43118.0,21876.0,6.246900047333334,80590.0
42,Mauritius,6.101299763,6.049,6.071,10.0,776.0,192.0,6.0737665876666656,978.0
43,Kazakhstan,6.057899952,6.152,6.234,2749.0,15478.0,3533.0,6.1479666506666675,21760.0
44,Estonia,6.021800041,6.189,6.341,229.0,1703.0,752.0,6.183933347,2684.0
45,Philippines,6.006000042,5.88,5.904,9230.0,42143.0,16982.0,5.930000014,68355.0
46,Hungary,6.000400066,5.992,6.086,9537.0,29649.0,15821.0,6.026133355333333,55007.0
47,Thailand,5.998799801,5.985,5.891,61.0,21637.0,3493.0,5.958266600333334,25191.0
48,Argentina,5.974699974,5.929,5.967,48271.0,69905.0,58416.0,5.956899991333334,176592.0
49,Honduras,5.953199863,5.919,6.022,3111.0,7323.0,3557.0,5.964733287666665,13991.0
50,Latvia,5.949999809,6.032,6.18,626.0,3935.0,1658.0,6.053999936333334,6219.0
51,Ecuador,5.925199986,5.764,5.533,14023.0,19646.0,15775.0,5.740733328666667,49444.0
52,Portugal,5.910900116,5.929,6.016,6840.0,12093.0,9603.0,5.951966705333334,28536.0
53,Jamaica,5.889800072,6.309,5.85,302.0,2168.0,716.0,6.016266690666666,3186.0
54,South Korea,5.872399807,5.845,5.935,900.0,4663.0,11567.0,5.8841332689999994,17130.0
55,Japan,5.870800018,5.94,6.039,3414.0,14979.0,13031.0,5.949933339333334,31424.0
56,Peru,5.796800137,5.84,5.559,93066.0,109518.0,102661.0,5.731933379,305245.0
57,Serbia,5.77820015,6.078,6.178,3163.0,9525.0,6263.0,6.01140005,18951.0
58,Bolivia,5.747499943,5.716,5.6,9135.0,10515.0,11379.0,5.687833314333333,31029.0
59,Pakistan,5.69329977,4.934,4.516,10047.0,18874.0,11475.0,5.04776659,40396.0
60,Paraguay,5.692100048,5.653,5.578,2220.0,14404.0,4260.0,5.641033349333333,20884.0
61,Dominican Republic,5.689199924,5.545,5.737,2409.0,1837.0,2538.0,5.6570666413333335,6784.0
62,Bosnia and Herzegovina,5.674099922,5.813,5.768,4050.0,9378.0,6332.0,5.751699974,19760.0
63,Moldova,5.607500076,5.766,5.857,3110.0,7159.0,4272.0,5.743500025333333,14541.0
64,Tajikistan,5.555699825,5.466,5.377,90.0,35.0,90.0,5.466233275,215.0
65,Montenegro,5.54610014,5.581,5.547,677.0,1724.0,976.0,5.55803338,3377.0
66,Russia,5.546000004,5.477,5.459,57019.0,251841.0,116881.0,5.494000001333333,425741.0
67,Kyrgyz Republic,5.541500092,5.744,5.828,1355.0,1447.0,1541.0,5.704500030666666,4343.0
68,Greece,5.514999866,5.723,5.948,4788.0,15920.0,11543.0,5.7286666219999995,32251.0
69,Croatia,5.504700184,5.882,6.125,3860.0,8633.0,6930.0,5.837233394666666,19423.0
70,Mongolia,5.456200123,5.677,5.761,1.0,1985.0,123.0,5.631400041,2109.0
71,Malaysia,5.384300232,5.384,5.711,463.0,30999.0,3940.0,5.493100077333334,35402.0
72,Vietnam,5.353499889,5.411,5.485,35.0,32133.0,10321.0,5.416499963,42489.0
73,Indonesia,5.285600185,5.345,5.24,22138.0,121956.0,33133.0,5.290200061666666,177227.0
74,Cote d'Ivoire,5.233300209,5.306,5.235,138.0,574.0,222.0,5.258100069666667,934.0
75,Benin,5.21600008,5.045,4.623,44.0,117.0,46.0,4.96133336,207.0
76,Ghana,5.147999763,5.088,4.872,335.0,971.0,474.0,5.035999920999999,1780.0
77,Nepal,5.137199879,5.269,5.377,2758.0,8836.0,3115.0,5.261066626333332,14709.0
78,Turkey,5.131800175,4.948,4.744,20642.0,61556.0,36421.0,4.941266725,118619.0
79,China,5.123899937,5.339,5.585,4788.0,911.0,12286.0,5.349299979,17985.0
80,Bulgaria,5.101500034,5.266,5.371,7515.0,23375.0,13137.0,5.246166678,44027.0
81,Morocco,5.094799995,4.918,5.06,7355.0,7489.0,8571.0,5.024266665,23415.0
82,Cameroon,5.084899902,5.142,5.048,448.0,1405.0,522.0,5.0916333006666665,2375.0
83,Venezuela,5.053199768,4.892,4.925,1021.0,4300.0,1381.0,4.956733256,6702.0
84,Algeria,5.005099773,4.887,5.122,2751.0,3520.0,3354.0,5.004699924333333,9625.0
85,Senegal,4.980800152,5.132,5.046,402.0,1488.0,476.0,5.052933383999999,2366.0
86,Guinea,4.949299812,4.984,4.891,81.0,310.0,130.0,4.941433270666667,521.0
87,Laos,4.888599873,5.03,5.14,0.0,360.0,304.0,5.019533291000001,664.0
88,Albania,4.882699966,5.117,5.199,1174.0,2041.0,1451.0,5.0662333219999995,4666.0
89,Cambodia,4.848400116,4.83,4.64,0.0,3012.0,42.0,4.7728000386666665,3054.0
90,Bangladesh,4.832799911,5.025,5.155,7559.0,20513.0,8609.0,5.004266637000001,36681.0
91,Gabon,4.829299927,4.852,4.958,64.0,224.0,79.0,4.879766642333334,367.0
92,South Africa,4.814099789,4.956,5.194,28033.0,63028.0,36992.0,4.988033262999999,128053.0
93,Iraq,4.784800053,4.854,4.941,12808.0,11346.0,13817.0,4.859933351,37971.0
94,Lebanon,4.771500111,4.584,2.955,1443.0,7659.0,2637.0,4.103500037,11739.0
95,Burkina Faso,4.768700123,4.834,4.67,85.0,233.0,149.0,4.757566707666666,467.0
96,Mali,4.729300022,4.723,4.479,269.0,389.0,338.0,4.643766673999999,996.0
97,Nigeria,4.724100113,4.759,4.552,1278.0,1752.0,1390.0,4.6783667043333335,4420.0
98,Armenia,4.676799774,5.283,5.399,2823.0,5149.0,3464.0,5.119599924666667,11436.0
99,Georgia,4.672599792,4.891,4.973,2505.0,11295.0,5450.0,4.845533264,19250.0
100,Iran,4.672399998,4.721,4.888,55095.0,76477.0,63681.0,4.760466666,195253.0
101,Jordan,4.633399963,4.395,4.152,3815.0,8805.0,5226.0,4.393466654333333,17846.0
102,Mozambique,4.623600006,4.794,5.048,165.0,1831.0,369.0,4.821866668666667,2365.0
103,Kenya,4.583000183,4.607,4.543,1667.0,3709.0,1939.0,4.577666727666667,7315.0
104,Namibia,4.571100235,4.574,4.459,208.0,3437.0,582.0,4.5347000783333336,4227.0
105,Ukraine,4.56069994,4.875,5.084,18533.0,77366.0,30591.0,4.839899979999999,126490.0
106,Uganda,4.43200016,4.636,4.603,304.0,2993.0,603.0,4.557000053333334,3900.0
107,Tunisia,4.392199993,4.596,4.516,4620.0,20944.0,7379.0,4.501399997666667,32943.0
108,Sri Lanka,4.327000141,4.325,4.362,204.0,14775.0,1702.0,4.338000047,16681.0
109,Myanmar,4.308000088,4.426,4.394,2682.0,16586.0,2844.0,4.376000029333333,22112.0
110,Togo,4.187200069,4.107,4.112,68.0,180.0,92.0,4.135400023,340.0
111,Ethiopia,4.186200142,4.275,4.241,1918.0,5008.0,2484.0,4.234066714,9410.0
112,Egypt,4.151400089,4.283,4.288,7576.0,14151.0,10266.0,4.240800029666667,31993.0
113,Sierra Leone,3.926399946,3.849,3.574,76.0,47.0,78.0,3.7831333153333335,201.0
114,Zambia,3.759399891,4.073,3.76,386.0,3344.0,622.0,3.864133297,4352.0
115,India,3.573299885,3.819,3.777,148738.0,332342.0,188787.0,3.723099961666667,669867.0
116,Malawi,3.538000107,3.6,3.75,189.0,2166.0,460.0,3.629333369,2815.0
117,Tanzania,3.476200104,3.623,3.702,21.0,716.0,84.0,3.6004000346666665,821.0
118,Zimbabwe,3.299200058,3.145,2.995,360.0,4637.0,803.0,3.1464000193333335,5800.0
119,Afghanistan,2.566900015,2.523,2.404,2189.0,5167.0,2498.0,2.4979666716666666,9854.0
