,Country,Happiness score_2020,Happiness score_2021,Happiness score_2022,Deaths_2020,Deaths_2021,Deaths_2022
0,Finland,7.808700085,7.842,7.821,592.0,1136.0,2539.0
1,Denmark,7.645599842,7.62,7.636,1286.0,1979.0,3710.0
2,Switzerland,7.559899807,7.571,7.512,7517.0,4387.0,8660.0
3,Iceland,7.504499912,7.554,7.557,29.0,8.0,90.0
4,Norway,7.487999916,7.392,7.365,433.0,947.0,1571.0
5,Netherlands,7.448900223,7.464,7.415,11298.0,9588.0,12368.0
6,Sweden,7.353499889,7.363,7.384,9650.0,5716.0,12753.0
7,New Zealand,7.299600124,7.277,7.2,25.0,26.0,273.0
8,Austria,7.294199944,7.268,7.163,7486.0,9328.0,9619.0
9,Luxembourg,7.237500191,7.324,,489.0,426.0,610.0
10,Canada,7.23210001,7.103,7.025,15274.0,14684.0,22888.0
11,Australia,7.222799778,7.183,7.162,909.0,1317.0,4645.0
12,United Kingdom,7.164500237,7.064,6.943,,,
13,Israel,7.128600121,7.157,7.364,3337.0,4919.0,5626.0
14,Costa Rica,7.121399879,7.069,6.582,2156.0,5198.0,3090.0
15,Ireland,7.093699932,7.085,7.041,2276.0,3808.0,3030.0
16,Germany,7.075799942,7.155,7.034,50292.0,67390.0,66056.0
17,United States,6.939599991,6.951,6.977,,,
18,Czech Republic,6.910900116,6.965,,,,
19,Belgium,6.863500118,6.834,6.805,19758.0,8629.0,22207.0
20,United Arab Emirates,6.790800095,6.561,6.576,665.0,1497.0,805.0
21,Malta,6.772799969,6.602,6.447,216.0,260.0,378.0
22,France,6.663799763,6.69,6.687,64004.0,56958.0,81993.0
23,Mexico,6.465000153,6.317,6.128,147623.0,155784.0,168283.0
24,Taiwan Province of China,6.45539999,6.584,6.512,,,
25,Uruguay,6.440100193,6.431,6.474,168.0,6000.0,1156.0
26,Saudi Arabia,6.406499863,6.494,6.523,6214.0,2661.0,6382.0
27,Spain,6.400899887,6.491,6.476,54011.0,36916.0,65552.0
28,Guatemala,6.398900032,6.435,,4803.0,11299.0,5996.0
29,Italy,6.38740015,6.483,6.467,73604.0,63643.0,95581.0
30,Singapore,6.377099991,6.377,6.48,29.0,798.0,465.0
31,Brazil,6.375599861,6.33,6.293,192681.0,426136.0,233105.0
32,Slovenia,6.363399982,6.461,6.63,2955.0,3166.0,4276.0
33,El Salvador,6.34829998,6.061,6.12,1327.0,2496.0,1622.0
34,Kosovo,6.325200081,6.372,6.455,,,
35,Panama,6.304800034,6.18,6.309,3933.0,3492.0,4676.0
36,Slovakia,6.280600071,6.331,6.391,2138.0,14497.0,4855.0
37,Uzbekistan,6.257599831,6.179,6.063,614.0,871.0,766.0
38,Chile,6.228499889,6.172,6.172,16499.0,22597.0,33870.0
39,Bahrain,6.227300167,6.647,6.647,352.0,1042.0,428.0
40,Lithuania,6.215499878,6.255,6.446,1800.0,5595.0,3286.0
41,Trinidad and Tobago,6.191899776,,,126.0,2699.0,1042.0
42,Poland,6.186299801,6.166,6.123,28641.0,68416.0,46757.0
43,Colombia,6.163400173,6.012,5.781,42620.0,87246.0,52349.0
44,Cyprus,6.15899992,6.223,6.221,122.0,524.0,428.0
45,Nicaragua,6.13710022,5.972,6.165,165.0,52.0,178.0
46,Romania,6.123700142,6.14,6.477,15596.0,43118.0,21876.0
47,Kuwait,6.102099895,6.106,,933.0,1535.0,1019.0
48,Mauritius,6.101299763,6.049,6.071,10.0,776.0,192.0
49,Kazakhstan,6.057899952,6.152,6.234,2749.0,15478.0,3533.0
50,Estonia,6.021800041,6.189,6.341,229.0,1703.0,752.0
51,Philippines,6.006000042,5.88,5.904,9230.0,42143.0,16982.0
52,Hungary,6.000400066,5.992,6.086,9537.0,29649.0,15821.0
53,Thailand,5.998799801,5.985,5.891,61.0,21637.0,3493.0
54,Argentina,5.974699974,5.929,5.967,48271.0,69905.0,58416.0
55,Honduras,5.953199863,5.919,6.022,3111.0,7323.0,3557.0
56,Latvia,5.949999809,6.032,6.18,626.0,3935.0,1658.0
57,Ecuador,5.925199986,5.764,5.533,14023.0,19646.0,15775.0
58,Portugal,5.910900116,5.929,6.016,6840.0,12093.0,9603.0
59,Jamaica,5.889800072,6.309,5.85,302.0,2168.0,716.0
60,South Korea,5.872399807,5.845,5.935,,,
61,Japan,5.870800018,5.94,6.039,3414.0,14979.0,13031.0
62,Peru,5.796800137,5.84,5.559,93066.0,109518.0,102661.0
63,Serbia,5.77820015,6.078,6.178,3163.0,9525.0,6263.0
64,Bolivia,5.747499943,5.716,5.6,,,
65,Pakistan,5.69329977,4.934,4.516,10047.0,18874.0,11475.0
66,Paraguay,5.692100048,5.653,5.578,2220.0,14404.0,4260.0
67,Dominican Republic,5.689199924,5.545,5.737,2409.0,1837.0,2538.0
68,Bosnia and Herzegovina,5.674099922,5.813,5.768,4050.0,9378.0,6332.0
69,Moldova,5.607500076,5.766,5.857,,,
70,Tajikistan,5.555699825,5.466,5.377,90.0,35.0,90.0
71,Montenegro,5.54610014,5.581,5.547,677.0,1724.0,976.0
72,Russia,5.546000004,5.477,5.459,,,
73,Kyrgyzstan,5.541500092,5.744,5.828,1355.0,1447.0,1541.0
74,Belarus,5.539899826,5.534,,1414.0,4147.0,2663.0
75,North Cyprus,5.53550005,5.536,,,,
76,Greece,5.514999866,5.723,5.948,4788.0,15920.0,11543.0
77,Hong Kong S.A.R. of China,5.510399818,5.477,5.425,,,
78,Croatia,5.504700184,5.882,6.125,3860.0,8633.0,6930.0
79,Libya,5.488800049,5.41,,1459.0,4237.0,2176.0
80,Mongolia,5.456200123,5.677,5.761,1.0,1985.0,123.0
81,Malaysia,5.384300232,5.384,5.711,463.0,30999.0,3940.0
82,Vietnam,5.353499889,5.411,5.485,,,
83,Indonesia,5.285600185,5.345,5.24,22138.0,121956.0,33133.0
84,Ivory Coast,5.233300209,5.306,5.235,,,
85,Benin,5.21600008,5.045,4.623,44.0,117.0,46.0
86,Maldives,5.197599888,5.198,,48.0,214.0,84.0
87,Congo (Brazzaville),5.194399834,5.342,,,,
88,Azerbaijan,5.164800167,5.171,,2575.0,5771.0,3920.0
89,Macedonia,5.159800053,,,,,
90,Ghana,5.147999763,5.088,4.872,335.0,971.0,474.0
91,Nepal,5.137199879,5.269,5.377,2758.0,8836.0,3115.0
92,Turkey,5.131800175,4.948,4.744,20642.0,61556.0,36421.0
93,China,5.123899937,5.339,5.585,4788.0,911.0,12286.0
94,Turkmenistan,5.119100094,5.066,,0.0,0.0,0.0
95,Bulgaria,5.101500034,5.266,5.371,7515.0,23375.0,13137.0
96,Morocco,5.094799995,4.918,5.06,7355.0,7489.0,8571.0
97,Cameroon,5.084899902,5.142,5.048,448.0,1405.0,522.0
98,Venezuela,5.053199768,4.892,4.925,,,
99,Algeria,5.005099773,4.887,5.122,2751.0,3520.0,3354.0
100,Senegal,4.980800152,5.132,5.046,402.0,1488.0,476.0
101,Guinea,4.949299812,4.984,4.891,81.0,310.0,130.0
102,Niger,4.909599781,5.074,,101.0,173.0,135.0
103,Laos,4.888599873,5.03,5.14,,,
104,Albania,4.882699966,5.117,5.199,1174.0,2041.0,1451.0
105,Cambodia,4.848400116,4.83,4.64,0.0,3012.0,42.0
106,Bangladesh,4.832799911,5.025,5.155,7559.0,20513.0,8609.0
107,Gabon,4.829299927,4.852,4.958,64.0,224.0,79.0
108,South Africa,4.814099789,4.956,5.194,28033.0,63028.0,36992.0
109,Iraq,4.784800053,4.854,4.941,12808.0,11346.0,13817.0
110,Lebanon,4.771500111,4.584,2.955,1443.0,7659.0,2637.0
111,Burkina Faso,4.768700123,4.834,4.67,85.0,233.0,149.0
112,Gambia,4.750599861,5.051,,124.0,219.0,146.0
113,Mali,4.729300022,4.723,4.479,269.0,389.0,338.0
114,Nigeria,4.724100113,4.759,4.552,1278.0,1752.0,1390.0
115,Armenia,4.676799774,5.283,5.399,2823.0,5149.0,3464.0
116,Georgia,4.672599792,4.891,4.973,2505.0,11295.0,5450.0
117,Iran,4.672399998,4.721,4.888,,,
118,Jordan,4.633399963,4.395,4.152,3815.0,8805.0,5226.0
119,Mozambique,4.623600006,4.794,5.048,165.0,1831.0,369.0
120,Kenya,4.583000183,4.607,4.543,1667.0,3709.0,1939.0
121,Namibia,4.571100235,4.574,4.459,208.0,3437.0,582.0
122,Ukraine,4.56069994,4.875,5.084,18533.0,77366.0,30591.0
123,Liberia,4.557899952,4.625,,89.0,198.0,96.0
124,Palestinian Territories,4.552800179,4.517,,,,
125,Uganda,4.43200016,4.636,4.603,304.0,2993.0,603.0
126,Chad,4.422699928,4.355,,105.0,76.0,115.0
127,Tunisia,4.392199993,4.596,4.516,4620.0,20944.0,7379.0
128,Mauritania,4.374599934,4.227,,340.0,523.0,459.0
129,Sri Lanka,4.327000141,4.325,4.362,204.0,14775.0,1702.0
130,Congo (Kinshasa),4.31099987,,,,,
131,Swaziland,4.308100224,4.308,,,,
132,Myanmar,4.308000088,4.426,4.394,2682.0,16586.0,2844.0
133,Comoros,4.288599968,4.289,,9.0,148.0,12.0
134,Togo,4.187200069,4.107,4.112,68.0,180.0,92.0
135,Ethiopia,4.186200142,4.275,4.241,1918.0,5008.0,2484.0
136,Madagascar,4.165599823,4.208,,261.0,766.0,618.0
137,Egypt,4.151400089,4.283,4.288,7576.0,14151.0,10266.0
138,Sierra Leone,3.926399946,3.849,3.574,76.0,47.0,78.0
139,Burundi,3.775300026,3.775,,2.0,12.0,3.0
140,Zambia,3.759399891,4.073,3.76,386.0,3344.0,622.0
141,Haiti,3.720799923,3.615,,236.0,537.0,296.0
142,Lesotho,3.652800083,3.512,,64.0,607.0,90.0
143,India,3.573299885,3.819,3.777,148738.0,332342.0,188787.0
144,Malawi,3.538000107,3.6,3.75,189.0,2166.0,460.0
145,Yemen,3.527400017,3.658,,611.0,1373.0,770.0
146,Botswana,3.478899956,3.467,,43.0,2409.0,278.0
147,Tanzania,3.476200104,3.623,3.702,,,
148,Central African Republic,3.475899935,,,63.0,38.0,75.0
149,Rwanda,3.312299967,3.415,,86.0,1263.0,196.0
150,Zimbabwe,3.299200058,3.145,2.995,360.0,4637.0,803.0
151,South Sudan,2.816600084,,,64.0,72.0,66.0
152,Afghanistan,2.566900015,2.523,2.404,2189.0,5167.0,2498.0
